customer_id,first_name,last_name,email,join_date
1,Amanda,Russell,ashleyhernandez@example.com,2024-11-26
2,Jeanne,Donovan,nwilson@example.net,2025-06-29
3,Kevin,Johns,gdavis@example.com,2025-07-12
4,Lisa,Woods,chavezwilliam@example.com,2024-10-06
5,Micheal,Gonzalez,hansenemily@example.com,2025-07-18
6,Emily,Maynard,fosterlisa@example.net,2025-06-28
7,Tina,Morris,bethwilliams@example.com,2025-05-15
8,Brandy,Brewer,weaverbrian@example.org,2024-10-31
9,Laura,Velez,ajohnson@example.org,2024-12-30
10,Jessica,Davis,katiegood@example.net,2024-12-12
11,Hailey,Andrews,ybrooks@example.com,2024-11-06
12,Anthony,Nichols,rbennett@example.net,2025-02-12
13,Thomas,Sharp,desireebailey@example.org,2025-01-26
14,Tammy,Zuniga,urice@example.org,2025-02-22
15,Krista,Gentry,avilatiffany@example.com,2025-04-17
16,Kimberly,Thompson,opatel@example.org,2025-04-12
17,Becky,Khan,rreed@example.org,2025-03-25
18,Jennifer,Thompson,johnsondonna@example.net,2025-08-14
19,Brandy,Gillespie,allencarlos@example.net,2025-07-26
20,George,Osborn,griffinemily@example.org,2025-02-11
21,Cristina,Sanders,joymorales@example.org,2024-09-24
22,Christine,Simpson,karenparsons@example.org,2025-08-31
23,Maureen,Zuniga,jim95@example.net,2025-05-25
24,Dylan,Hayden,joel28@example.org,2025-07-05
25,Erin,Howe,dturner@example.net,2025-04-16
26,Anthony,Mcdowell,conniesimmons@example.com,2025-08-11
27,Stacy,Smith,comptonshelly@example.net,2024-10-21
28,Daniel,Bradley,ufloyd@example.net,2024-12-10
29,Andrew,Rodriguez,trussell@example.com,2025-05-12
30,Lee,Bird,karenwells@example.org,2024-11-10
31,Edward,Mitchell,meredith27@example.org,2025-04-23
32,Hannah,Hays,jfaulkner@example.net,2025-04-05
33,Robert,Daniels,paulscott@example.com,2025-05-05
34,Kimberly,Snyder,nielsenmelanie@example.org,2025-05-05
35,Samantha,Mays,brettbennett@example.net,2025-08-30
36,Monique,Rosales,russojacob@example.net,2025-01-10
37,Jill,Mcdonald,timothybooth@example.com,2025-06-29
38,Bryan,Lee,susan03@example.org,2024-10-19
39,Devin,Rodriguez,burgesskaren@example.org,2024-10-17
40,Jared,Martin,randyallen@example.com,2024-12-01
41,Mark,Stevens,oscar85@example.com,2025-06-11
42,Eileen,Scott,michael77@example.org,2025-04-03
43,Alicia,Lopez,ugill@example.org,2025-05-20
44,Lee,Doyle,lawrence09@example.org,2024-11-30
45,Glen,Gibbs,allentran@example.net,2025-01-25
46,Rhonda,Bradley,mphillips@example.com,2025-02-27
47,Matthew,Todd,noahwhitaker@example.com,2025-05-17
48,Michael,Thompson,jonathan77@example.com,2025-05-21
49,Kelsey,Chase,jessicabell@example.org,2024-11-05
50,Jennifer,Prince,iwhite@example.net,2025-09-11
51,Dawn,Wilcox,warrenmary@example.org,2025-03-06
52,Heather,Robertson,duranrobert@example.net,2024-12-28
53,Chelsea,Miller,carloshernandez@example.org,2025-08-13
54,James,Caldwell,nbrooks@example.net,2024-10-12
55,John,Lopez,bhopkins@example.org,2025-07-12
56,Angela,Taylor,hsmith@example.net,2025-06-05
57,Jeffrey,Morris,amanda40@example.net,2025-01-16
58,Teresa,Wright,ldrake@example.org,2025-01-14
59,Kenneth,Green,warrenjohn@example.net,2025-06-25
60,Keith,Young,lisa46@example.org,2025-03-20
61,Jared,Molina,susan79@example.org,2025-01-16
62,Janet,Finley,kevinclayton@example.org,2024-10-16
63,Logan,Turner,davisnicholas@example.net,2025-06-02
64,Michael,Sharp,abrown@example.net,2025-02-23
65,Sarah,Smith,christopherbruce@example.net,2024-10-05
66,Laura,Valdez,ariel18@example.org,2024-09-27
67,Joshua,Schwartz,jasonparrish@example.net,2025-05-29
68,David,Brown,enelson@example.net,2024-09-19
69,Erica,Wilson,rachel90@example.org,2025-01-14
70,Noah,Parker,alexis39@example.org,2024-10-21
71,Tina,Sullivan,thickman@example.org,2025-06-30
